ra,iaa_autoavaliacao,ida_desempenho_academico,ieg_engajamento_atividades,ipp_psicopedagogicos,ian_adequacao_nivel,ips_aspectos_psicossociais,ipv_ponto_virada,inde_indice_desen_educacional,requer_psicologia,atingiu_pv,defasagem,ano_arquivo,risco
RA-116,5.8,5.9,8.1,,5.0,6.3,7.79,6.85,Sem limitações,Não,-2.0,2022,1
RA-116,6.7,4.7,7.6,7.97,5.0,5.0,7.55,6.85,,,,2023,1
RA-116,8.33,4.5,7.54,6.88,5.0,5.64,6.73,6.85,,,,2024,0
RA-1160,9.6,2.7,8.7,6.88,10.0,2.52,7.26,,,,,2023,0
RA-1160,8.75,3.17,8.2,6.25,5.0,7.51,6.25,,,,,2024,0
RA-1161,6.3,6.3,8.1,8.28,10.0,2.52,8.63,,,,,2023,0
RA-1162,8.3,6.0,8.5,7.81,10.0,3.77,7.75,,,,,2023,1
RA-1162,7.92,5.67,9.14,6.88,10.0,6.26,7.04,,,,,2024,0
RA-1163,8.8,7.2,9.3,7.66,5.0,7.52,7.75,,,,,2023,0
RA-1163,8.33,7.83,9.82,8.13,10.0,7.51,8.76,,,,,2024,0
RA-1164,9.2,4.8,7.5,7.66,10.0,2.52,7.55,,,,,2023,0
RA-1165,9.2,7.3,9.1,7.19,10.0,5.0,7.29,,,,,2023,0
RA-1165,8.75,8.0,6.83,6.88,10.0,8.14,7.83,,,,,2024,0
RA-1166,8.3,4.8,9.6,7.66,5.0,7.52,7.92,,,,,2023,0
RA-1166,8.33,6.33,8.5,8.02,5.0,6.26,8.63,,,,,2024,0
RA-1167,8.8,3.8,7.6,7.66,2.5,2.52,7.96,,,,,2023,0
RA-1168,0.0,3.5,8.8,7.66,10.0,2.52,7.05,,,,,2023,0
RA-1168,9.59,5.67,7.68,7.19,5.0,7.51,6.33,,,,,2024,0
RA-1169,7.5,6.3,9.5,7.03,5.0,5.0,8.0,,,,,2023,0
RA-1169,6.25,6.83,8.44,7.81,5.0,5.64,6.8,,,,,2024,0
RA-117,7.9,6.1,6.3,,5.0,6.9,7.42,6.69,Requer avaliação,Não,-1.0,2022,0
RA-1170,8.8,5.9,7.7,7.19,5.0,7.52,6.58,,,,,2023,1
RA-1170,9.17,3.5,5.57,7.03,5.0,8.13,6.75,,,,,2024,0
RA-1171,7.9,8.7,8.4,8.75,5.0,5.0,8.88,,,,,2023,1
RA-1171,8.33,7.5,7.23,8.65,5.0,7.51,8.64,,,,,2024,0
RA-1172,8.3,6.7,7.8,8.59,5.0,2.52,8.46,,,,,2023,1
RA-1172,7.5,3.33,6.06,7.25,5.0,6.26,6.2,,,,,2024,0
RA-1173,8.8,6.0,9.7,7.81,10.0,2.52,8.12,,,,,2023,1
RA-1173,9.17,5.83,9.67,8.13,10.0,7.51,8.2,,,,,2024,0
RA-1174,9.2,6.8,8.7,8.91,5.0,2.52,8.34,,,,,2023,1
RA-1174,8.75,5.0,8.35,7.5,10.0,6.26,7.27,,,,,2024,0
RA-1175,8.3,6.3,5.3,7.66,2.5,2.52,7.63,,,,,2023,0
RA-1176,8.3,8.2,9.3,9.69,10.0,7.52,9.17,,,,,2023,0
RA-1176,8.75,9.17,9.68,8.59,10.0,6.26,8.92,,,,,2024,0
RA-1177,10.0,7.2,9.9,8.91,10.0,2.52,8.88,,,,,2023,0
RA-1177,8.75,7.33,9.82,7.66,10.0,6.26,8.13,,,,,2024,0
RA-1178,8.8,5.7,9.3,7.97,5.0,2.52,8.21,,,,,2023,0
RA-1178,8.75,8.33,9.68,7.5,5.0,6.26,8.7,,,,,2024,0
RA-1179,9.6,5.0,8.1,6.88,5.0,4.38,7.17,,,,,2023,0
RA-118,0.0,3.9,5.3,,10.0,6.3,6.96,5.6,Sem limitações,Não,0.0,2022,0
RA-1180,8.3,5.4,9.5,7.19,5.0,5.0,7.71,,,,,2023,0
RA-1181,8.8,4.8,8.3,7.5,10.0,2.52,7.34,,,,,2023,1
RA-1181,9.17,3.83,5.04,7.13,10.0,6.26,5.86,,,,,2024,0
RA-1182,7.5,4.2,6.3,6.72,5.0,2.52,7.21,,,,,2023,0
RA-1183,7.5,5.3,8.7,6.09,5.0,2.52,6.76,,,,,2023,0
RA-1184,8.3,7.3,8.3,8.13,5.0,5.0,8.05,,,,,2023,0
RA-1184,6.67,7.67,8.66,7.29,5.0,7.51,7.5,,,,,2024,0
RA-1185,7.5,7.5,9.1,7.81,10.0,5.0,8.38,,,,,2023,0
RA-1186,8.8,5.5,9.8,6.88,5.0,6.89,7.38,,,,,2023,0
RA-1187,8.8,5.3,6.9,7.34,10.0,2.52,6.72,,,,,2023,0
RA-1188,9.6,6.4,9.4,7.81,5.0,,7.59,,,,,2023,0
RA-1188,9.17,7.0,10.0,8.13,5.0,7.51,7.11,,,,,2024,0
RA-1189,8.8,6.1,9.0,7.81,5.0,,7.38,,,,,2023,0
RA-1189,9.59,7.67,8.67,7.5,5.0,7.51,7.11,,,,,2024,0
RA-119,8.3,5.4,8.2,,10.0,5.6,7.88,7.5,Requer avaliação,Não,0.0,2022,0
RA-119,6.7,,,,10.0,2.52,,7.5,,,,2023,0
RA-119,7.08,7.37,9.98,7.5,10.0,6.57,7.5,7.5,,,,2024,0
RA-1190,0.0,4.2,9.2,7.34,10.0,5.0,7.05,,,,,2023,0
RA-1191,7.5,3.7,7.2,5.0,10.0,5.0,6.26,,,,,2023,0
RA-1192,7.9,5.8,8.7,7.97,5.0,2.52,7.67,,,,,2023,0
RA-1193,0.0,4.1,7.8,7.19,10.0,5.0,7.13,,,,,2023,1
RA-1193,8.75,4.0,7.76,7.81,5.0,5.64,7.79,,,,,2024,0
RA-1194,8.8,6.1,9.0,7.5,10.0,5.0,7.67,,,,,2023,0
RA-1195,0.0,5.4,8.3,8.28,2.5,2.52,8.0,,,,,2023,0
RA-1195,9.59,6.17,9.86,7.5,5.0,5.63,7.66,,,,,2024,0
RA-1196,0.0,7.5,8.2,7.81,10.0,5.0,8.05,,,,,2023,0
RA-1197,6.7,7.3,8.4,7.03,5.0,5.0,7.22,,,,,2023,0
RA-1198,8.3,6.7,9.4,7.5,5.0,6.26,7.96,,,,,2023,1
RA-1198,8.75,3.5,9.46,7.38,5.0,7.51,7.33,,,,,2024,0
RA-1199,6.7,6.2,9.1,6.88,5.0,5.0,8.09,,,,,2023,0
RA-1199,7.5,9.0,8.57,6.56,5.0,5.01,8.47,,,,,2024,0
RA-12,0.0,1.5,4.0,,10.0,6.9,6.39,4.83,Sem limitações,Não,0.0,2022,0
RA-12,,,,,10.0,,,4.83,,,,2023,0
RA-12,,,0.0,,10.0,,,4.83,,,,2024,0
RA-120,8.3,6.2,5.9,,5.0,7.5,7.67,6.83,Não atendido,Não,-1.0,2022,0
RA-1200,0.0,4.0,6.4,7.5,10.0,5.0,6.87,,,,,2023,1
RA-1200,7.92,1.5,7.1,7.5,5.0,6.26,6.27,,,,,2024,0
RA-1201,9.2,7.8,9.6,8.59,10.0,3.77,8.76,,,,,2023,0
RA-1201,8.75,9.0,9.52,8.33,5.0,7.51,8.56,,,,,2024,0
RA-1202,7.1,3.3,7.6,7.34,5.0,7.52,6.67,,,,,2023,0
RA-1203,9.2,7.2,10.0,7.97,5.0,2.52,7.88,,,,,2023,0
RA-1203,9.17,9.0,9.65,8.38,10.0,7.51,8.57,,,,,2024,0
RA-1204,7.5,6.1,8.7,7.81,5.0,5.0,7.21,,,,,2023,0
RA-1205,9.2,5.0,9.2,7.5,2.5,6.26,7.09,,,,,2023,0
RA-1206,8.8,5.6,8.3,7.81,5.0,2.52,7.71,,,,,2023,0
RA-1207,8.8,5.5,9.0,7.81,10.0,5.0,7.63,,,,,2023,1
RA-1207,8.33,5.33,6.58,7.34,5.0,7.51,6.54,,,,,2024,0
RA-1208,8.8,6.2,8.8,6.88,10.0,2.52,6.25,,,,,2023,0
RA-1209,7.5,7.4,9.4,7.81,5.0,5.0,7.71,,,,,2023,0
RA-121,7.1,7.2,8.4,,5.0,6.3,7.63,7.25,Sem limitações,Não,-2.0,2022,1
RA-121,6.3,6.0,8.8,7.34,5.0,5.0,7.46,7.25,,,,2023,0
RA-121,8.75,8.83,8.15,7.25,5.0,6.26,6.76,7.24,,,,2024,0
RA-1210,9.6,4.7,9.4,7.81,5.0,5.0,8.09,,,,,2023,0
RA-1210,9.59,5.5,10.0,7.88,10.0,7.51,8.17,,,,,2024,0
RA-1211,7.1,6.2,9.1,7.81,5.0,5.0,7.71,,,,,2023,0
RA-1212,8.3,4.2,8.9,7.66,5.0,5.0,7.72,,,,,2023,0
RA-1213,0.0,6.0,8.4,7.81,5.0,2.52,7.72,,,,,2023,0
RA-1214,9.6,7.4,9.8,7.5,10.0,6.89,7.67,,,,,2023,0
RA-1214,10.0,8.0,9.08,8.28,10.0,8.13,7.66,,,,,2024,0
RA-1215,7.1,4.1,5.6,7.5,10.0,5.0,7.17,,,,,2023,0
RA-1216,9.6,7.9,9.0,7.5,5.0,5.63,7.8,,,,,2023,0
RA-1216,,,0.0,,10.0,,,,,,,2024,0
RA-1217,0.0,5.9,7.9,7.66,5.0,5.63,7.38,,,,,2023,0
RA-1218,7.5,5.3,9.2,7.5,5.0,5.0,7.13,,,,,2023,0
RA-1219,8.8,6.3,6.5,7.34,10.0,5.63,7.38,,,,,2023,0
RA-122,7.9,1.8,3.4,,10.0,7.5,4.96,5.06,Não atendido,Não,0.0,2022,0
RA-1220,0.0,6.8,9.0,7.81,5.0,5.0,7.63,,,,,2023,0
RA-1220,7.08,7.67,8.56,7.5,5.0,6.89,6.26,,,,,2024,0
RA-1221,9.2,8.7,9.1,8.0,5.0,6.26,8.09,,,,,2023,1
RA-1221,,8.0,0.0,,10.0,,,,,,,2024,0
RA-1222,7.1,6.8,10.0,6.88,5.0,5.63,6.01,,,,,2023,0
RA-1223,8.8,9.0,9.3,6.88,10.0,5.0,7.29,,,,,2023,0
RA-1224,8.3,8.0,9.4,7.13,5.0,5.0,7.63,,,,,2023,0
RA-1224,,,0.0,,10.0,,,,,,,2024,0
RA-1225,7.5,,,,5.0,2.52,,,,,,2023,0
RA-1225,,,0.0,,10.0,,,,,,,2024,0
RA-1226,9.2,,,,10.0,7.52,,,,,,2023,0
RA-1226,8.33,6.07,9.0,7.5,10.0,6.89,7.5,,,,,2024,0
RA-1227,9.2,,,,10.0,2.52,,,,,,2023,0
RA-1227,8.75,0.0,0.0,7.5,10.0,7.2,7.5,,,,,2024,0
RA-1228,7.5,,,,10.0,2.52,,,,,,2023,0
RA-1228,8.75,0.0,0.0,7.5,10.0,7.51,7.5,,,,,2024,0
RA-1229,8.3,,,,10.0,7.52,,,,,,2023,0
RA-1229,9.17,0.0,0.0,7.5,10.0,6.57,7.5,,,,,2024,0
RA-123,7.9,6.5,8.6,,5.0,5.6,7.29,7.08,Requer avaliação,Não,-2.0,2022,1
RA-123,0.0,5.7,9.4,6.88,5.0,5.0,6.84,7.08,,,,2023,0
RA-123,7.5,7.17,8.41,6.72,5.0,5.64,6.43,7.08,,,,2024,0
RA-1230,0.0,,,,10.0,2.52,,,,,,2023,0
RA-1230,7.92,0.0,0.0,7.5,10.0,7.2,7.5,,,,,2024,0
RA-1231,,,,,10.0,,,,,,,2023,0
RA-1231,,,0.0,,10.0,,,,,,,2024,0
RA-1232,,,,,10.0,,,,,,,2023,0
RA-1232,,,0.0,,10.0,,,,,,,2024,0
RA-1233,,,,,10.0,,,,,,,2023,0
RA-1233,,,0.0,,10.0,,,,,,,2024,0
RA-1234,,,,,10.0,,,,,,,2023,0
RA-1234,,,0.0,,10.0,,,,,,,2024,0
RA-1235,,,,,10.0,,,,,,,2023,0
RA-1235,,,0.0,,10.0,,,,,,,2024,0
RA-1236,,,,,10.0,,,,,,,2023,0
RA-1236,,,0.0,,10.0,,,,,,,2024,0
RA-1237,,,,,10.0,,,,,,,2023,0
RA-1237,,,0.0,,10.0,,,,,,,2024,0
RA-1238,,,,,10.0,,,,,,,2023,0
RA-1238,,,0.0,,10.0,,,,,,,2024,0
RA-1239,,,,,10.0,,,,,,,2023,0
RA-1239,,,0.0,,10.0,,,,,,,2024,0
RA-124,7.9,6.7,7.8,,10.0,5.0,7.17,7.39,Requer avaliação,Não,0.0,2022,0
RA-1240,,,,,10.0,,,,,,,2023,0
RA-1240,,,0.0,,10.0,,,,,,,2024,0
RA-1241,,,,,10.0,,,,,,,2023,0
RA-1241,,,0.0,,10.0,,,,,,,2024,0
RA-1242,,,,,10.0,,,,,,,2023,0
RA-1242,,,0.0,,10.0,,,,,,,2024,0
RA-1243,,,,,10.0,,,,,,,2023,0
RA-1244,,,,,10.0,,,,,,,2023,0
RA-1244,,,0.0,,10.0,,,,,,,2024,0
RA-1245,,,,,10.0,,,,,,,2023,0
RA-1245,,,0.0,,10.0,,,,,,,2024,0
RA-1246,,,,,10.0,,,,,,,2023,0
RA-1246,,,0.0,,10.0,,,,,,,2024,0
RA-1247,,,,,10.0,,,,,,,2023,0
RA-1248,,,,,10.0,,,,,,,2023,0
RA-1248,,,0.0,,10.0,,,,,,,2024,0
RA-1249,,,,,10.0,,,,,,,2023,0
RA-1249,,,0.0,,10.0,,,,,,,2024,0
RA-125,8.8,7.1,8.5,,5.0,7.5,7.75,7.62,Não atendido,Não,-1.0,2022,1
RA-125,9.2,5.8,7.7,8.13,5.0,5.0,7.84,7.62,,,,2023,0
RA-125,8.33,6.17,5.64,7.34,5.0,7.51,7.23,7.62,,,,2024,0
RA-1250,,,,,10.0,,,,,,,2023,0
RA-1250,,,0.0,,10.0,,,,,,,2024,0
RA-1251,,,,,10.0,,,,,,,2023,0
RA-1251,,,0.0,,10.0,,,,,,,2024,0
RA-1252,,,,,10.0,,,,,,,2023,0
RA-1252,,,0.0,,10.0,,,,,,,2024,0
RA-1253,,,,,10.0,,,,,,,2023,0
RA-1253,,,0.0,,10.0,,,,,,,2024,0
RA-1254,,,,,10.0,,,,,,,2023,0
RA-1254,,,0.0,,10.0,,,,,,,2024,0
RA-1255,,,,,10.0,,,,,,,2023,0
RA-1255,,,0.0,,10.0,,,,,,,2024,0
RA-1256,,,,,10.0,,,,,,,2023,0
RA-1256,,,0.0,,10.0,,,,,,,2024,0
RA-1257,,,,,10.0,,,,,,,2023,0
RA-1257,,,0.0,,10.0,,,,,,,2024,0
RA-1258,,,,,10.0,,,,,,,2023,0
RA-1258,,,0.0,,10.0,,,,,,,2024,0
RA-1259,,,,,10.0,,,,,,,2023,0
RA-1259,,,0.0,,10.0,,,,,,,2024,0
RA-126,7.1,4.4,5.8,,5.0,7.5,7.42,6.29,Não atendido,Não,-1.0,2022,0
RA-1260,,,,,10.0,,,,,,,2023,0
RA-1260,,,0.0,,10.0,,,,,,,2024,0
RA-1261,,,,,10.0,,,,,,,2023,0
RA-1261,,,0.0,,10.0,,,,,,,2024,0
RA-1262,,,,,10.0,,,,,,,2023,0
RA-1262,,,0.0,,10.0,,,,,,,2024,0
RA-1263,,,,,10.0,,,,,,,2023,0
RA-1263,,,0.0,,10.0,,,,,,,2024,0
RA-1264,,,,,10.0,,,,,,,2023,0
RA-1264,,,0.0,,10.0,,,,,,,2024,0
RA-1265,,,,,10.0,,,,,,,2023,0
RA-1265,,,0.0,,10.0,,,,,,,2024,0
RA-1266,,,,,10.0,,,,,,,2023,0
RA-1266,,,0.0,,10.0,,,,,,,2024,0
RA-1267,,,,,10.0,,,,,,,2023,0
RA-1267,,,0.0,,10.0,,,,,,,2024,0
RA-1268,,,,,10.0,,,,,,,2023,0
RA-1268,,,0.0,,10.0,,,,,,,2024,0
RA-1269,,,,,10.0,,,,,,,2023,0
RA-1269,,,0.0,,10.0,,,,,,,2024,0
RA-127,7.5,7.9,8.7,,10.0,7.5,8.13,8.28,Não atendido,Não,0.0,2022,1
RA-127,8.8,6.4,7.8,8.44,10.0,6.26,8.67,8.28,,,,2023,0
RA-127,8.75,7.83,9.49,7.63,10.0,7.51,8.54,8.28,,,,2024,0
RA-1270,,,,,10.0,,,,,,,2023,0
RA-1270,,,0.0,,10.0,,,,,,,2024,0
RA-1271,,,,,10.0,,,,,,,2023,0
RA-1271,,,0.0,,10.0,,,,,,,2024,0
RA-1272,,,,,10.0,,,,,,,2023,0
RA-1272,,,0.0,,10.0,,,,,,,2024,0
RA-1273,,,,,10.0,,,,,,,2023,0
RA-1273,,,0.0,,10.0,,,,,,,2024,0
RA-1274,,,,,10.0,,,,,,,2023,0
RA-1274,,,0.0,,10.0,,,,,,,2024,0
RA-1275,10.0,8.0,8.67,5.63,10.0,6.26,5.45,,,,,2024,0
RA-1276,10.0,8.0,9.33,7.5,10.0,3.76,7.05,,,,,2024,0
RA-1277,10.0,8.0,9.08,7.5,10.0,3.76,7.05,,,,,2024,0
RA-1278,9.0,7.5,4.17,5.0,5.0,3.76,4.17,,,,,2024,0
RA-1279,10.0,8.25,10.0,7.5,5.0,6.26,7.78,,,,,2024,0
RA-128,0.0,5.6,6.2,,5.0,7.5,6.17,5.56,Não atendido,Não,-1.0,2022,0
RA-128,6.7,5.7,7.3,7.34,5.0,5.0,7.55,5.56,,,,2023,0
RA-1280,10.0,8.5,9.55,7.5,5.0,6.26,8.34,,,,,2024,0
RA-1281,7.92,9.25,9.55,7.5,5.0,6.26,7.78,,,,,2024,0
RA-1282,9.5,9.25,8.11,7.5,5.0,6.26,7.89,,,,,2024,0
RA-1283,10.0,9.0,9.23,7.5,5.0,7.51,8.28,,,,,2024,0
RA-1284,9.0,10.0,9.35,7.81,10.0,2.51,7.89,,,,,2024,0
RA-1285,10.0,8.0,8.83,7.5,10.0,2.51,8.95,,,,,2024,0
RA-1286,8.0,7.0,5.05,5.31,10.0,2.51,4.61,,,,,2024,0
RA-1287,10.0,7.75,9.31,8.13,5.0,2.51,8.22,,,,,2024,0
RA-1288,9.0,10.0,7.98,7.19,10.0,2.51,7.27,,,,,2024,0
RA-1289,7.0,7.75,9.44,5.94,5.0,7.51,6.17,,,,,2024,0
RA-129,6.7,6.7,6.4,,5.0,7.5,7.79,6.93,Não atendido,Não,-1.0,2022,0
RA-1290,10.0,8.75,10.0,7.5,5.0,7.51,8.28,,,,,2024,0
RA-1291,9.5,8.25,9.5,7.5,5.0,7.51,7.89,,,,,2024,0
RA-1292,7.5,8.25,4.77,7.19,5.0,7.51,7.89,,,,,2024,0
RA-1293,8.0,8.5,9.49,6.88,5.0,7.51,8.34,,,,,2024,0
RA-1294,9.5,7.75,10.0,6.88,5.0,7.51,7.55,,,,,2024,0
RA-1295,10.0,7.5,9.52,7.5,10.0,2.51,8.28,,,,,2024,0
RA-1296,9.0,6.5,8.44,7.5,5.0,2.51,8.34,,,,,2024,0
RA-1297,9.5,9.25,9.76,7.5,5.0,2.51,6.83,,,,,2024,0
RA-1298,9.5,6.75,6.64,7.19,10.0,7.51,7.39,,,,,2024,0
RA-1299,8.5,6.5,7.64,7.19,5.0,7.51,7.11,,,,,2024,0
RA-13,7.9,4.7,7.4,,5.0,7.5,8.06,6.9,Sem limitações,Não,-1.0,2022,0
RA-13,,,,,10.0,,,6.9,,,,2023,0
RA-13,,,0.0,,10.0,,,6.9,,,,2024,0
RA-130,8.3,4.1,4.7,,5.0,5.0,6.5,5.62,Requer avaliação,Não,-2.0,2022,0
RA-1300,8.5,9.0,8.75,7.5,5.0,2.51,8.61,,,,,2024,0
RA-1301,9.5,7.0,2.92,7.5,5.0,2.51,6.0,,,,,2024,0
RA-1302,10.0,4.0,5.42,6.25,10.0,2.51,5.0,,,,,2024,0
RA-1303,10.0,10.0,10.0,7.5,10.0,2.51,9.17,,,,,2024,0
RA-1304,9.0,6.0,7.96,7.81,5.0,8.14,6.49,,,,,2024,0
RA-1305,8.5,4.75,8.71,7.81,5.0,2.51,8.05,,,,,2024,0
RA-1306,9.0,9.75,10.0,7.5,5.0,8.14,7.95,,,,,2024,0
RA-1307,10.0,5.5,5.83,6.25,10.0,6.26,5.38,,,,,2024,0
RA-1308,10.0,6.0,7.45,7.5,5.0,7.51,5.93,,,,,2024,0
RA-1309,9.0,7.5,9.17,7.5,10.0,7.51,8.22,,,,,2024,0
RA-131,8.8,5.6,9.0,,5.0,5.6,7.75,7.17,Sem limitações,Não,-1.0,2022,1
RA-131,8.3,2.2,7.8,7.66,5.0,5.0,6.8,7.17,,,,2023,0
RA-131,8.75,5.0,9.44,7.71,5.0,7.51,7.39,7.17,,,,2024,0
RA-1310,8.5,10.0,9.38,7.81,10.0,2.51,8.17,,,,,2024,0
RA-1311,9.0,0.0,9.17,7.5,10.0,2.51,8.39,,,,,2024,0
RA-1312,10.0,6.5,8.33,6.25,5.0,7.51,8.34,,,,,2024,0
RA-1313,9.5,6.25,8.13,7.5,10.0,7.51,8.45,,,,,2024,0
RA-1314,7.42,9.0,8.54,7.5,10.0,7.51,7.44,,,,,2024,0
RA-1315,6.83,9.0,8.33,7.5,10.0,7.51,8.5,,,,,2024,0
RA-1316,9.0,7.75,8.21,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1317,7.5,10.0,7.07,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1318,8.5,5.0,7.69,7.19,5.0,7.51,7.33,,,,,2024,0
RA-1319,8.5,8.5,5.75,7.5,5.0,7.51,7.5,,,,,2024,0
RA-132,10.0,7.7,8.8,,10.0,5.6,8.46,8.36,Sem limitações,Sim,0.0,2022,1
RA-132,7.5,6.5,8.7,7.66,10.0,2.52,7.72,8.36,,,,2023,0
RA-132,8.33,8.33,8.38,8.59,10.0,7.51,8.44,8.35,,,,2024,0
RA-1320,9.0,8.25,9.17,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1321,9.0,8.75,8.88,6.56,10.0,6.89,5.92,,,,,2024,0
RA-1322,9.5,7.5,9.0,8.44,10.0,7.51,8.17,,,,,2024,0
RA-1323,10.0,7.0,9.08,6.88,5.0,7.51,6.66,,,,,2024,0
RA-1324,10.0,8.5,10.0,7.81,5.0,7.51,8.0,,,,,2024,0
RA-1325,9.0,10.0,9.52,8.44,10.0,7.51,7.92,,,,,2024,0
RA-1326,9.0,4.5,9.29,7.81,10.0,7.51,7.25,,,,,2024,0
RA-1327,9.0,7.5,9.33,7.81,10.0,7.51,7.33,,,,,2024,0
RA-1328,8.5,10.0,8.21,7.5,5.0,7.51,7.83,,,,,2024,0
RA-1329,9.5,6.5,10.0,6.56,10.0,7.51,6.66,,,,,2024,0
RA-133,7.9,5.6,7.1,,5.0,7.5,7.63,6.88,Não atendido,Não,-1.0,2022,1
RA-133,7.5,5.3,7.9,7.19,5.0,2.52,6.51,6.88,,,,2023,0
RA-1330,10.0,9.5,9.33,8.44,10.0,7.51,7.92,,,,,2024,0
RA-1331,9.0,7.25,7.29,8.44,10.0,7.51,7.25,,,,,2024,0
RA-1332,8.5,8.25,9.41,9.38,5.0,7.51,7.67,,,,,2024,0
RA-1333,7.5,9.25,10.0,9.38,5.0,6.26,7.75,,,,,2024,0
RA-1334,10.0,9.0,10.0,9.38,5.0,5.63,7.75,,,,,2024,0
RA-1335,9.0,8.75,9.75,9.38,5.0,7.51,7.67,,,,,2024,0
RA-1336,9.5,9.5,6.2,7.5,5.0,2.51,7.75,,,,,2024,0
RA-1337,8.0,6.0,4.72,6.88,5.0,7.51,5.66,,,,,2024,0
RA-1338,8.0,3.0,8.66,6.88,5.0,7.51,5.33,,,,,2024,0
RA-1339,8.5,8.75,10.0,5.0,5.0,6.89,5.33,,,,,2024,0
RA-134,8.8,4.7,6.8,,5.0,7.5,7.38,6.61,Não atendido,Não,-1.0,2022,0
RA-1340,9.5,10.0,8.39,5.63,10.0,7.51,7.0,,,,,2024,0
RA-1341,10.0,10.0,9.25,5.63,5.0,7.51,6.0,,,,,2024,0
RA-1342,9.5,9.0,9.76,7.5,5.0,7.51,5.58,,,,,2024,0
RA-1343,8.0,9.75,10.0,6.25,10.0,7.51,8.5,,,,,2024,0
RA-1344,8.5,10.0,10.0,8.75,10.0,7.51,9.43,,,,,2024,0
RA-1345,8.5,6.25,9.46,6.25,5.0,7.51,6.83,,,,,2024,0
RA-1346,9.5,5.5,8.06,6.25,10.0,7.51,6.66,,,,,2024,0
RA-1347,8.5,5.0,8.79,5.63,5.0,2.51,6.17,,,,,2024,0
RA-1348,7.5,9.0,8.59,8.75,5.0,7.51,7.83,,,,,2024,0
RA-1349,8.0,8.5,8.39,8.44,5.0,7.51,7.92,,,,,2024,0
RA-135,8.3,8.6,7.8,,5.0,5.6,8.58,7.69,Sem limitações,Sim,-1.0,2022,0
RA-1350,8.5,8.5,10.0,8.44,5.0,8.76,7.83,,,,,2024,0
RA-1351,9.0,8.75,9.23,8.44,5.0,8.13,7.67,,,,,2024,0
RA-1352,10.0,8.5,9.5,8.44,5.0,8.13,7.67,,,,,2024,0
RA-1353,8.0,3.0,9.5,6.88,5.0,7.51,6.08,,,,,2024,0
RA-1354,9.5,6.0,8.36,8.13,5.0,7.51,7.34,,,,,2024,0
RA-1355,10.0,7.0,6.52,8.13,5.0,7.51,7.17,,,,,2024,0
RA-1356,9.0,5.5,9.44,8.13,10.0,7.51,7.09,,,,,2024,0
RA-1357,8.0,6.75,7.5,8.13,5.0,7.51,7.34,,,,,2024,0
RA-1358,9.17,4.0,7.38,6.25,10.0,5.01,6.17,,,,,2024,0
RA-1359,8.5,6.0,9.0,5.63,10.0,5.64,6.17,,,,,2024,0
RA-136,10.0,4.6,6.3,,5.0,7.5,6.67,6.48,Não atendido,Não,-1.0,2022,0
RA-1360,8.5,5.0,7.0,5.63,10.0,7.51,6.42,,,,,2024,0
RA-1361,9.5,10.0,9.38,7.5,10.0,5.64,8.0,,,,,2024,0
RA-1362,10.0,8.5,6.88,6.88,10.0,5.64,6.92,,,,,2024,0
RA-1363,7.42,6.5,10.0,6.88,10.0,5.64,6.99,,,,,2024,0
RA-1364,8.0,8.75,8.42,6.88,5.0,7.51,6.99,,,,,2024,0
RA-1365,9.0,6.5,9.79,6.88,5.0,6.26,6.99,,,,,2024,0
RA-1366,9.0,6.5,6.6,7.5,5.0,7.51,6.99,,,,,2024,0
RA-1367,10.0,8.75,8.38,7.5,10.0,7.51,7.5,,,,,2024,0
RA-1368,7.0,9.5,10.0,7.5,10.0,7.51,7.5,,,,,2024,0
RA-1369,8.5,8.0,8.63,7.5,10.0,6.26,7.5,,,,,2024,0
RA-137,7.5,7.3,8.9,,2.5,5.0,7.79,7.06,Requer avaliação,Não,-3.0,2022,1
RA-137,7.1,6.0,6.3,6.41,5.0,2.52,6.88,7.06,,,,2023,0
RA-137,9.59,6.83,7.58,4.79,5.0,5.01,6.28,7.06,,,,2024,0
RA-1370,10.0,9.0,8.72,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1371,7.5,4.5,6.98,6.88,5.0,7.51,7.5,,,,,2024,0
RA-1372,9.5,4.75,10.0,7.5,10.0,8.13,7.5,,,,,2024,0
RA-1373,9.5,6.75,8.88,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1374,9.5,5.25,9.35,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1375,9.5,8.25,10.0,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1376,9.0,9.75,9.62,7.5,5.0,7.51,7.5,,,,,2024,0
RA-1377,9.0,5.5,10.0,6.88,10.0,8.13,6.99,,,,,2024,0
RA-1378,9.0,6.75,9.29,7.5,5.0,8.13,7.5,,,,,2024,0
RA-1379,9.5,7.25,8.68,5.94,5.0,3.76,5.16,,,,,2024,0
RA-138,9.6,5.6,8.0,,5.0,5.6,6.38,6.74,Requer avaliação,Não,-1.0,2022,1
RA-138,10.0,4.3,7.9,7.34,5.0,6.26,7.42,6.74,,,,2023,0
RA-138,9.59,5.83,8.75,7.71,5.0,7.51,7.44,6.74,,,,2024,0
RA-1380,9.5,8.0,8.78,7.19,10.0,4.39,7.5,,,,,2024,0
